Title,Title_URL,Like,Title_URL1,Title2,bcl1activitycellb,bcl1activitycellc,bcl1activitycellc3,jvisibleproject,bcl1activityrow_URL,bcl1activityrow,bcl1activityrow4,jloadsinpagemodal_URL,jloadsinpagemodal_URL5,Title1,Text,Pub_Time,Field,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14
Academic Block Wing 2,https://www.gbig.org/buildings/990437,"Shiv Nadar University, Greater Noida, Uttar Pradesh, India",https://www.gbig.org/activities/leed-india-nc091133,Shiv Nadar University - Academic Blocks,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990437%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990437%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Academic Block Wing 2,Building,Academic Block Wing 2,Shiv Nadar University - Academic Blocks,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"839,240 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Leela Building,https://www.gbig.org/buildings/990439,"153, Okhla Phase III, Okhla Industrial Area, New Delhi, Delhi, India",https://www.gbig.org/activities/leed-india-nc101213,The Leela Palace,awarded on 01/01/2012,"Platinum

LEED India  NC",,PLATINUM,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990439%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990439%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Platinum




Awards & Certifications",01/01/2012,Leela Building,Building,Leela Building,The Leela Palace,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"309,710 square feet",2012,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Infotech Enterprises Limited,https://www.gbig.org/buildings/990440,"Vittal Rao Nagar, HITEC City, Hyderabad, Telangana, India",https://www.gbig.org/activities/leed-india-nc101242,Infotech Enterprises Ltd,awarded on 01/01/2013,"Gold

LEED India  NC",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990440%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990440%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2013,Infotech Enterprises Limited,Building,Infotech Enterprises Limited,Infotech Enterprises Ltd,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"146,820 square feet",2013,People/Organizations who worked on this building,+ Add Me,,ACTIVITY,View other buildings nearby »
Puma,https://www.gbig.org/buildings/990441,"The Oasis Centre, AVS Layout, Koramangala, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-nc111387,PUMA,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990441%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990441%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Puma,Building,Puma,PUMA,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"11,496 square feet",,People/Organizations who worked on this building,+ Add Me,,ACTIVITY,View other buildings nearby »
Kotak Building,https://www.gbig.org/buildings/990442,"South Palekar Road, Kamathi Wada, Sonapur, Marine Lines, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-nc121474,Kotak Tower,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990442%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990442%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Kotak Building,Building,Kotak Building,Kotak Tower,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"187,077 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
A Block,https://www.gbig.org/buildings/990443,"Haripura, Surat, Gujarat, India",https://www.gbig.org/activities/leed-india-nc121498,West Block,"Registered
LEED India  NC","Registered

LEED India  NC",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990443%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990443%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,A Block,Building,A Block,West Block,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"41,890 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Express Mall,https://www.gbig.org/buildings/990444,"Club House Road, Express Estate, Thousand Lights, Chennai, Tamil Nadu, India",https://www.gbig.org/activities/leed-india-cs081101,Express Avenue,awarded on 01/01/2010,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990444%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990444%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2010,Express Mall,Building,Express Mall,Express Avenue,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"180,080 square feet",2010,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Lala Towers,https://www.gbig.org/buildings/990445,"Nelson Manickam Road, Railway Colony, Aminjikarai, Chennai, Tamil Nadu, India",https://www.gbig.org/activities/leed-india-cs091128,Lalah Towers,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990445%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990445%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Lala Towers,Building,Lala Towers,Lalah Towers,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"284,447 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Food corporation of India Regional office,https://www.gbig.org/buildings/990446,"10, 4th Block East, NAL Layout, Jayanagar, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs091136,HBS Corporate Office,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990446%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990446%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Food corporation of India Regional office,Building,Food corporation of India Regional office,HBS Corporate Office,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"23,842 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Sai Eshwati & Siddheshwar Heights,https://www.gbig.org/buildings/990447,"2, Mogul Lane, VSNL Colony, Mahim, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs101155,Century Office Tower 1 & 2,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990447%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990447%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Sai Eshwati & Siddheshwar Heights,Building,Sai Eshwati & Siddheshwar Heights,Century Office Tower 1 & 2,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"52,587 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
KK Towers,https://www.gbig.org/buildings/990448,"Himagiri Nagar Colony Road, Raghuram Nagar Colony, Bandlaguda, Hyderabad, Telangana, India",https://www.gbig.org/activities/leed-india-cs101173,Kapil Towers,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990448%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D11%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990448%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,KK Towers,Building,KK Towers,Kapil Towers,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"534,665 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
STAR Hub,https://www.gbig.org/buildings/990449,"Ashok Nagar, Andheri East, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs101174,Star-Hub,awarded on 01/01/2013,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990449%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990449%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2013,STAR Hub,Building,STAR Hub,Star-Hub,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"178,057 square feet",2013,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
DB Orchid Heights,https://www.gbig.org/buildings/990450,"Agripada, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs101219,Orchid Heights,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990450%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990450%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,DB Orchid Heights,Building,DB Orchid Heights,Orchid Heights,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.925 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
244/1,https://www.gbig.org/buildings/990451,"Street Number 3, Block D, Mandawali, New Delhi, Delhi, India",https://www.gbig.org/activities/leed-india-cs111230,3C Delh1/ Delhi One,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,https://www.gbig.org/activities/leed-india-cs111238,3C Delh1 / Delhi One,"Registered

LEED India  CS",https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990451%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990451%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 2 green activities that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









2



Green Projects


See all »








Registered (2)




Awards & Certifications",,244/1,Building,244/1,"3C Delh1/ Delhi One, 3C Delh1 / Delhi One",Favorite,+ Follow,+ Add to a Collection,+ Add Me,4.001 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Sri Hari Towers,https://www.gbig.org/buildings/990452,"5th A Main Road, Vinayakanagar, Hebbal, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs111247,Hebbal Tower,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990452%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990452%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Sri Hari Towers,Building,Sri Hari Towers,Hebbal Tower,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"419,114 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Vibgyor Apartment,https://www.gbig.org/buildings/990453,"D Cross Road, Dodda Banaswadi, Banaswadi, Bengaluru, Karnataka, India",https://www.gbig.org/activities/leed-india-cs111250,Vibgyor,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990453%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990453%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Vibgyor Apartment,Building,Vibgyor Apartment,Vibgyor,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"19,320 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Orbit Avenue,https://www.gbig.org/buildings/990454,"Thirugnanasambandam Road, Gopalapuram, Coimbatore, Tamil Nadu, India",https://www.gbig.org/activities/leed-india-cs111251,ORBIT 11,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990454%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990454%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Orbit Avenue,Building,Orbit Avenue,ORBIT 11,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"19,347 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Prestige Polygon,https://www.gbig.org/buildings/990455,"Anna Salai, Rathna Nagar, Teynampet, Chennai, Tamil Nadu, India",https://www.gbig.org/activities/leed-india-cs111272,Prestige Polygon,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990455%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990455%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Prestige Polygon,Building,Prestige Polygon,,Favorite,+ Follow,+ Add to a Collection,+ Add Me,"534,687 square feet",,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Indiabulls Sky Suites,https://www.gbig.org/buildings/990456,"Senapati Bapat Marg, Dadar West, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs111286,Elphinstone Sky Suites,"Registered
LEED India  CS","Registered

LEED India  CS",REGISTERED,REGISTERED,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990456%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990456%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Registered




Awards & Certifications",,Indiabulls Sky Suites,Building,Indiabulls Sky Suites,Elphinstone Sky Suites,Favorite,+ Follow,+ Add to a Collection,+ Add Me,2.615 Million square feet,,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
Indiabulls Finance Center,https://www.gbig.org/buildings/990457,"Kakasaheb Gadgil Marg, Babasaheb Ambedkar Nagar, Mumbai, Maharashtra, India",https://www.gbig.org/activities/leed-india-cs111327,Elphinstone Indiabulls Finance Centre,awarded on 01/01/2013,"Gold

LEED India  CS",,GOLD,,,,https://www.gbig.org/from_feature/user_sessions/new?origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Batbf%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990457%23add_to_collection,https://www.gbig.org/from_feature/user_sessions/new?level=communicate&origin=%2Fcollections%2F14555%2Fbuildings%3Fpage%3D12%26saved_params%255Bbrt%255D%255Bentire_building%255D%3D1%26saved_params%255Bbuilding_id%255D%3D990457%23add_role,OVERVIEW,"Why It's Green


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development
+ 2 more


This building is green because it has 1 green activity that achieved outcomes of energy efficient design, water use reduction, sustainable site selection and development, responsible materials selection and waste management, and enhanced indoor environmental quality.









1



Green Project


See all »








Gold




Awards & Certifications",01/01/2013,Indiabulls Finance Center,Building,Indiabulls Finance Center,Elphinstone Indiabulls Finance Centre,Favorite,+ Follow,+ Add to a Collection,+ Add Me,1.082 Million square feet,2013,People/Organizations who worked on this building,+ Add Me,No one is associated yet.,ACTIVITY,View other buildings nearby »
